species,local_name,species_label
OUTRO PEIXE,OUTRO PEIXE,OUTRO PEIXE
Ablennes hians,AGULHA ESPADA,AGULHA ESPADA
Abudefduf saxatilis,TCHINTCHIN,TCHINTCHIN 1
Acanthocybium solandri,PEIXE FUMO,PEIXE FUMO
Acanthostracion notacanthus,IMPINHO,IMPINHO
Acanthurus monroviae,ASNO LAMINA,ASNO LAMINA
Albula vulpes,COLUMPIAM BALABO,COLUMPIAM BALABO
Alectis alexandrina,PAMPULE,PAMPULE
Aluterus scriptus,ASNO LEMBE LEMBE,ASNO LEMBE LEMBE
Aluterus heudelotii,ASNO BUCETA,ASNO BUCETA
Antennarius multiocellatus,PEIXE PEDRA,PEIXE PEDRA
Anthias anthias,CAPITAO,CAPITAO
Apsilus fuscus,PEIXE NOVO,PEIXE NOVO
Auxis thazard,FULU FULU REBOLA,FULU FULU REBOLA
Balistes capriscus,ASNO FUNDO,ASNO FUNDO
Balistes punctatus,ASNO TERRA,ASNO TERRA
Beryx decadactylus,OLHO LENTE,OLHO LENTE
Bodianus speciosus,BULHAO BICA,BULHAO BICA
Boops boops,BONGA,BONGA
Syacium guineensis,LINGUADO,LINGUADO 1
Bothus lunatus,LINGUADO,LINGUADO 2
Bothus podas,LINGUADO,LINGUADO 3
Branchiostegus semifasciatus,PEIXE CABRA,PEIXE CABRA
Canthidermis maculata,ASNO PEGO,ASNO PEGO
Canthidermis sufflamen,ASNO MAMBO,ASNO MAMBO
Cantherhines spp,ASNO MEFOBONCON,ASNO MEFOBONCON
Caranx bartholomaei,CHEREU,CHEREU
Caranx crysos,BONITO,BONITO
Caranx hippos,COCOVADO,COCOVADO
Caranx latus,OLHO GROSSO,OLHO GROSSO
Caranx lugubris,COCOVADO DE FUNDO,COCOVADO DE FUNDO
Cephalopholis nigri,COLOBO,COLOBO
Cephalopholis taeniops,BOBO QUEMA,BOBO QUEMA
Channomuraena vittata,MOREIA TROPA,MOREIA TROPA
Chelidonichthys gabonensis,CONCOM DE FUNDO,CONCOM DE FUNDO
Chilomycterus reticulatus,BUBU,BUBU
Cirrhitus atlanticus,CAZE BUDU,CAZE BUDU
Coris atlantica,RAINHA,RAINHA
Coryphaena equiselis,COLOMBETA CAVEDE,COLOMBETA CAVEDE
Coryphaena hippurus,COLOMBETA,COLOMBETA
Natantia,LAGOSTA,LAGOSTA
Dactylopterus volitans,CONCOM,CONCOM
Taeniurops grabatus,RAIA,RAIA 1
Decapterus spp,CAVALA,CAVALA
Dentex congoensis,VERMELHO DENTE,VERMELHO DENTE
Dentex macrophthalmus,VERMELHO FUNDO,VERMELHO FUNDO
Drepane africana,COZINHEIRO,COZINHEIRO
Elagatis bipinnulata,ALADA,ALADA
Ephippus goreensis,COZINHEIRO DE RIO,COZINHEIRO DE RIO
Epinephelus adscensionis,GLOPIM,GLOPIM
Epinephelus aeneus,BACALHAU,BACALHAU
Epinephelus goreensis,BADEJO,BADEJO
Epinephelus marginatus,MERO,MERO
Erythrocles monodi,VERMELHO SANGUE,VERMELHO SANGUE
Euthynnus alletteratus,FULU FULU BATIDO,FULU FULU BATIDO
Evoxymetopon taeniatus,ESPADA DE FUNDO,ESPADA DE FUNDO
Exocoetidae,PEIXE VOADOR,PEIXE VOADOR
Fistularia tabacaria,AGULHA BUZINA,AGULHA BUZINA
Galeoides decadactylus,BARBUDO,BARBUDO
Gastropoda,BUZIO DO MAR,BUZIO DO MAR
Ginglymostoma cirratum,TUBARAO DE AREIA,TUBARAO DE AREIA
Grammonus longhursti,BLONZE,BLONZE
Gymnothorax spp,MOREIA DE TERRA,MOREIA DE TERRA
Hemiramphus balao,MAXIPOMBO,MAXIPOMBO
Heteropriacanthus cruentatus,VERMELHO SOL,VERMELHO SOL
Holacanthus africanus,TCHINTCHIN,TCHINTCHIN 2
Holocentrus adscensionis,CAQUI,CAQUI
Istiophorus albicans,PEIXE ANDALA,PEIXE ANDALA
Isurus spp,TUBARAO TUNHA,TUBARAO TUNHA
Katsuwonus pelamis,SINTRA,SINTRA
Kyphosus spp,SOPA DE FUNDO,SOPA DE FUNDO
Lagocephalus laevigatus,COELHO,COELHO
Lethrinus atlanticus,BICA,BICA
Lobotes surinamensis,TCHINTCHIN PEGO,TCHINTCHIN PEGO
Lutjanus agennes,CORVINA PRETA,CORVINA PRETA
Lutjanus endecacanthus,CORVINA DE CACA,CORVINA DE CACA
Lutjanus fulgens,VERMELHO TERRA,VERMELHO TERRA
Lutjanus goreensis,CORVINA VERMELHA,CORVINA VERMELHA
Makaira nigricans,BOCA CURTO,BOCA CURTO
Melichthys niger,ASNO PRETO,ASNO PRETO
Mobula spp,UZUA MANTA,UZUA MANTA
Mugil cephalus,TAINHA,TAINHA
Mulloidichthys martinicus,SABONETE DE FUNDO,SABONETE DE FUNDO
Mullus surmuletus,SABONETE VERMELHO,SABONETE VERMELHO 1
Muraena melanotis,MOREIA MAPINTA,MOREIA MAPINTA
Muraena robusta,MOREIA CARRONCA,MOREIA CARRONCA
Mycteroperca rubra,MURIANGA,MURIANGA
Myrichthys pardalis,COBRA MARINHA,COBRA MARINHA
Myripristis jacobus,MAE CAQUI,MAE CAQUI
Octopus spp,POLVO,POLVO
Ophichthus rufus,MOREIA FUNDO,MOREIA FUNDO
Pagellus bellottii,MALAGUETA,MALAGUETA
Pagrus spp,PARGO,PARGO
Paranthias furcifer,MULATO,MULATO
Plectorhinchus macrolepis,PEIXE PORCO,PEIXE PORCO 1
Polymixia nobilis,BARBUDO DE FUNDO,BARBUDO DE FUNDO
Polyprion americanus,CHERNE,CHERNE
Pomadasys incisus,BUJIGO,BUJIGO
Pomadasys rogerii,RONCADOR,RONCADOR
Pontinus accraensis,BLOLO,BLOLO
Pontinus kuhlii,CANGA,CANGA
Priacanthus arenatus,VERMELHO SOL DE FUNDO,VERMELHO SOL DE FUNDO
Prionace glauca,TUBARAO MAE AGUA,TUBARAO MAE AGUA
Pseudotolithus spp,RONCADOR DE FUNDO,RONCADOR DE FUNDO 1
Pseudupeneus prayensis,SABONETE VERMELHO,SABONETE VERMELHO 2
Rypticus saponaceus,FUNHE,FUNHE
Sardinella spp,SARDINHA,SARDINHA
Sargocentron hastatum,CAQUI DE PEDRA,CAQUI DE PEDRA
Scarus hoefleri,BULHAO PAPAGAIO,BULHAO PAPAGAIO 1
