district,comunidade,FIO E ANZOL CARIOCO,FIO E ANZOL TRAINERA,FIO E ANZOL MOTORIZADA,FIO E ANZOL NAO MOTORIZADA,REDE BRISA,REDE EMALHAR SUPERFICIE,REDE EMALHAR DEMERSAL,VOADOR PANHA,SUBMARINO
agua.grande,bistp,10,5,3,2,0,0,0,2,0
agua.grande,outra,0,0,0,0,0,0,0,0,1
agua.grande,pantufo,0,0,51,57,0,16,0,43,3
agua.grande,praia.cruz,0,0,2,4,26,11,2,0,3
agua.grande,praia.gamboa,0,0,0,4,20,11,2,0,2
agua.grande,praia.loxinga,0,0,0,0,45,15,4,0,18
agua.grande,sao.pedro,0,0,2,63,0,0,0,0,0
cantagalo,almoxarife,0,0,1,7,0,0,2,0,10
cantagalo,cova.agua,0,0,21,41,0,17,2,23,6
cantagalo,messias.alves,0,0,15,87,0,5,0,67,4
cantagalo,plano.agua.ize,0,0,13,10,0,2,0,7,0
cantagalo,ribeira.afonso,0,0,11,47,2,10,0,33,3
cantagalo,picao,0,0,4,31,0,2,0,5,0
caue,angolares,0,0,9,27,4,8,0,20,1
caue,angra.toldo,0,0,1,17,0,1,0,4,1
caue,malanza,0,0,7,7,0,6,1,5,1
caue,monte.mario,0,0,0,10,0,0,2,3,5
caue,porto.alegre,0,0,13,10,0,16,0,18,1
caue,praia.pesqueira,0,0,5,19,0,3,2,5,0
caue,ribeira.peixe,0,0,4,12,0,0,0,2,1
caue,rolas,0,0,10,3,0,9,0,6,0
caue,yo.grande,0,0,3,8,0,0,1,6,0
lemba,agua.toma,0,0,53,136,2,3,2,99,2
lemba,benga,0,0,38,285,0,4,0,157,0
lemba,esprainha.praia,0,0,3,22,0,0,0,12,0
lemba,paga.fogo,0,0,0,6,0,0,0,5,0
lemba,ponta.figo,0,0,2,2,0,0,0,1,0
lemba,praia.brita,0,0,0,21,0,0,0,19,0
lemba,praia.planca,0,0,0,35,0,0,0,0,0
lemba,ribeira.palma,0,0,3,5,0,0,0,0,0
lemba,rosema,0,0,35,76,0,5,0,42,0
lemba,santa.catarina,0,0,40,300,0,5,0,222,0
lobata,fernao.dias,0,0,0,18,0,0,0,0,3
lobata,micolo,0,0,12,142,2,0,0,9,46
lobata,morro.peixe,0,0,11,77,2,0,0,8,4
lobata,praia.planca,0,0,0,23,0,0,0,0,0
lobata,praia15,0,0,0,47,0,0,0,7,0
me.zoxi,praia.melao,0,0,72,155,2,28,0,103,0
pague,abade,0,0,39,13,4,33,0,2,11
pague,capitania,0,0,9,1,0,0,0,0,2
pague,concom,0,0,18,3,0,5,0,0,1
pague,esprainha,0,0,2,7,0,1,0,0,1
pague,nova.unitel,0,0,5,0,0,2,0,0,0
pague,outra,0,0,0,1,0,0,0,0,0
pague,praia.abelha,0,0,2,1,0,0,0,0,0
pague,praia.burra,0,0,28,14,4,15,3,0,11
pague,praia.caixao,0,0,0,1,0,0,0,0,0
pague,praia.campanha,0,0,10,7,0,3,0,0,1
pague,praia.iola,0,0,0,3,0,0,0,0,3
pague,praia.lapa,0,0,4,16,0,0,0,0,10
pague,praia.seabra,0,0,9,10,0,4,0,0,2
pague,praia.seca,0,0,1,0,0,1,0,0,0
pague,praia.sundy,0,0,0,1,0,0,0,0,0
pague,ribeira.ize,0,0,4,7,0,0,0,0,0
pague,santo.antonio,0,0,10,0,0,4,2,0,0
pague,sao.joao,0,0,19,4,0,13,2,3,0
pague,sao.pedro.principe,0,0,14,3,2,14,0,0,0
